PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;PERIODO_ANALISIS;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;056;07;08;02;17;04;25;00008;V;00027;V;00002;V;00001;V;00001;V;00002;V;00024;V;00048;V;00073;V;00047;V;00018;V;00012;V;00011;V;00010;N;00004;V;00001;V;00001;V;00002;V;00002;V;00001;V;00004;V;00003;V;00001;V;00001;V
28;079;056;07;08;02;17;04;26;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00026;V;00045;V;00013;V;00003;V;00005;V;00003;V;00005;V;00003;V;00004;V;00001;V;00003;V;00002;V;00004;V;00014;V;00009;V;00002;V;00001;V
28;079;056;07;08;02;17;04;27;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00004;V;00018;V;00024;V;00021;V;00017;V;00015;V;00014;V;00016;V;00018;V;00013;V;00009;V;00015;V;00017;V;00019;V;00015;V;00013;V;00007;V;00004;V
28;079;056;07;08;02;17;04;28;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00004;V;00014;V;00021;V;00024;V;00024;V;00029;V;00018;V;00016;V;00017;V;00013;V;00013;V;00011;V;00015;V;00015;V;00013;V;00015;V;00009;V;00007;V
28;079;056;07;08;02;17;04;29;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00004;V;00008;V;00011;V;00013;V;00021;V;00017;V;00011;V;00013;V;00011;V;00016;V;00012;V;00017;V;00019;V;00024;V;00043;V;00066;V;00107;V
28;079;056;07;08;02;17;04;30;00066;V;00053;V;00036;V;01228;N;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V
28;079;056;08;08;02;17;04;01;00026;V;00010;V;00008;V;00006;V;00006;V;00012;V;00012;V;00019;V;00021;V;00020;V;00012;V;00010;V;00011;V;00013;V;00013;V;00010;V;00008;V;00009;V;00012;V;00015;V;00026;V;00033;V;00033;V;00020;V
28;079;056;08;08;02;17;04;02;00018;V;00013;V;00016;V;00010;V;00023;V;00031;V;00034;V;00080;V;00065;V;00026;V;00028;V;00022;V;00020;V;00020;V;00030;V;00033;V;00017;V;00015;V;00031;V;00041;V;00061;V;00061;V;00050;V;00035;V
28;079;056;08;08;02;17;04;03;00031;V;00016;V;00015;V;00012;V;00007;V;00012;V;00038;V;00064;V;00084;V;00070;V;00052;V;00048;V;00042;V;00037;V;00034;V;00043;V;00040;V;00044;V;00049;V;00071;V;00106;V;00146;V;00146;V;00124;V
28;079;056;08;08;02;17;04;04;00099;V;00065;V;00062;V;00038;V;00040;V;00044;V;00059;V;00082;V;00092;V;00115;V;00072;V;00051;V;00041;V;00037;V;00034;V;00037;V;00040;V;00046;V;00051;V;00065;V;00091;V;00102;V;00074;V;00058;V
28;079;056;08;08;02;17;04;05;00038;V;00022;V;00013;V;00014;V;00009;V;00015;V;00037;V;00070;V;00093;V;00067;V;00043;V;00040;V;00031;V;00034;V;00034;V;00029;V;00035;V;00041;V;00046;V;00050;V;00052;V;00054;V;00032;V;00020;V
28;079;056;08;08;02;17;04;06;00014;V;00008;V;00008;V;00007;V;00007;V;00019;V;00044;V;00071;V;00095;V;00068;V;00049;V;00035;V;00036;V;00036;V;00036;V;00037;V;00039;V;00047;V;00062;V;00075;V;00111;V;00185;V;00176;V;00090;V
28;079;056;08;08;02;17;04;07;00039;V;00021;V;00019;V;00016;V;00014;V;00022;V;00039;V;00069;V;00090;V;00085;V;00065;V;00050;V;00044;V;00039;V;00034;V;00032;V;00036;V;00028;V;00036;V;00044;V;00079;V;00128;V;00164;V;00121;V
28;079;056;08;08;02;17;04;08;00100;V;00063;V;00055;V;00049;V;00049;V;00043;V;00057;V;00067;V;00068;V;00076;V;00065;N;00000;N;00000;N;00000;N;00000;N;00000;N;00001;N;00015;V;00028;V;00048;V;00084;V;00131;V;00178;V;00153;V
28;079;056;08;08;02;17;04;09;00135;V;00115;V;00079;V;00066;V;00059;V;00060;V;00055;V;00049;V;00053;V;00052;V;00048;V;00029;V;00021;V;00029;V;00019;V;00018;V;00017;V;00027;V;00034;V;00037;V;00076;V;00120;V;00108;V;00093;V
28;079;056;08;08;02;17;04;10;00083;V;00057;V;00041;V;00042;V;00045;V;00042;V;00062;V;00070;V;00077;V;00070;V;00081;V;00058;V;00048;V;00046;V;00044;V;00033;V;00032;V;00035;V;00048;V;00044;V;00116;V;00150;V;00141;V;00094;V
28;079;056;08;08;02;17;04;11;00080;V;00063;V;00059;V;00058;V;00047;V;00063;V;00093;V;00111;V;00117;V;00102;N;00093;V;00084;V;00076;V;00054;V;00051;V;00023;V;00020;V;00026;V;00038;V;00030;V;00050;V;00089;V;00102;V;00110;V
28;079;056;08;08;02;17;04;12;00121;V;00107;V;00067;V;00038;V;00023;V;00033;V;00048;V;00080;V;00109;V;00091;V;00088;V;00077;V;00085;V;00057;V;00025;V;00025;V;00025;V;00022;V;00024;V;00034;V;00044;V;00041;V;00038;V;00080;V
28;079;056;08;08;02;17;04;13;00069;V;00059;V;00062;V;00059;V;00049;V;00043;V;00070;V;00117;V;00066;V;00057;V;00072;V;00062;V;00049;V;00027;V;00022;V;00020;V;00013;V;00042;V;00042;V;00021;V;00027;V;00022;V;00019;V;00028;V
28;079;056;08;08;02;17;04;14;00062;V;00058;V;00055;V;00060;V;00058;V;00057;V;00046;V;00033;V;00045;V;00045;V;00035;V;00030;V;00014;V;00009;V;00007;V;00008;V;00007;V;00007;V;00008;V;00013;V;00012;V;00021;V;00019;V;00023;V
28;079;056;08;08;02;17;04;15;00030;V;00030;V;00021;V;00058;V;00063;V;00045;V;00039;V;00054;V;00044;V;00028;V;00026;V;00032;V;00022;V;00015;V;00009;V;00007;V;00009;V;00008;V;00013;V;00014;V;00024;V;00050;V;00066;V;00037;V
28;079;056;08;08;02;17;04;16;00025;V;00021;V;00022;V;00013;V;00013;V;00014;V;00021;V;00025;V;00021;V;00021;V;00022;V;00021;V;00023;V;00022;V;00026;V;00024;V;00017;V;00014;V;00021;V;00026;V;00082;V;00140;V;00160;V;00114;V
28;079;056;08;08;02;17;04;17;00074;V;00053;V;00053;V;00048;V;00043;V;00039;V;00045;V;00081;V;00103;V;00101;V;00079;V;00049;V;00044;V;00045;V;00024;V;00022;V;00019;V;00018;V;00024;V;00034;V;00045;V;00051;V;00049;V;00048;V
28;079;056;08;08;02;17;04;18;00037;V;00018;V;00015;V;00013;V;00010;V;00015;V;00042;V;00072;V;00081;V;00080;V;00063;V;00054;V;00059;V;00049;V;00047;V;00036;V;00039;V;00036;V;00056;V;00080;V;00101;V;00090;V;00051;V;00030;V
28;079;056;08;08;02;17;04;19;00025;V;00015;V;00009;V;00011;V;00006;V;00011;V;00028;V;00060;V;00066;V;00054;V;00046;V;00042;V;00046;V;00036;V;00040;V;00028;V;00030;V;00036;V;00035;V;00038;V;00037;V;00037;V;00033;V;00026;V
28;079;056;08;08;02;17;04;20;00016;V;00012;V;00011;V;00015;V;00014;V;00020;V;00040;V;00050;V;00067;V;00064;V;00044;V;00034;V;00031;V;00033;V;00036;V;00037;V;00037;V;00046;V;00049;V;00050;V;00048;V;00045;V;00043;V;00033;V
28;079;056;08;08;02;17;04;21;00023;V;00013;V;00010;V;00009;V;00009;V;00017;V;00049;V;00091;V;00089;V;00101;V;00058;V;00040;V;00038;V;00034;V;00035;V;00039;V;00029;V;00042;V;00049;V;00047;V;00056;V;00061;V;00053;V;00042;V
28;079;056;08;08;02;17;04;22;00039;V;00030;V;00021;V;00015;V;00014;V;00020;V;00069;V;00064;V;00061;V;00069;V;00037;V;00033;V;00040;V;00040;V;00038;V;00031;V;00034;V;00038;V;00040;V;00043;V;00064;V;00107;V;00145;V;00123;V
28;079;056;08;08;02;17;04;23;00088;V;00075;V;00072;V;00067;V;00058;V;00041;V;00046;V;00048;V;00044;V;00050;V;00046;V;00036;V;00029;V;00027;V;00025;V;00023;V;00020;V;00024;V;00024;V;00029;V;00095;V;00149;V;00146;V;00098;V
28;079;056;08;08;02;17;04;24;00102;V;00107;V;00057;V;00033;V;00041;V;00059;V;00084;V;00111;V;00117;V;00096;V;00064;V;00057;V;00046;V;00031;V;00027;V;00031;V;00027;V;00032;V;00057;V;00081;V;00093;V;00094;V;00115;V;00102;V
28;079;056;08;08;02;17;04;25;00075;V;00089;V;00024;V;00008;V;00006;V;00019;V;00063;V;00076;V;00082;V;00068;V;00038;V;00028;V;00028;V;00030;N;00019;V;00014;V;00013;V;00016;V;00019;V;00020;V;00034;V;00028;V;00018;V;00019;V
28;079;056;08;08;02;17;04;26;00013;V;00006;V;00006;V;00005;V;00006;V;00009;V;00027;V;00065;V;00080;V;00038;V;00020;V;00020;V;00018;V;00017;V;00014;V;00015;V;00015;V;00020;V;00019;V;00033;V;00049;V;00038;V;00025;V;00021;V
28;079;056;08;08;02;17;04;27;00016;V;00012;V;00006;V;00006;V;00006;V;00007;V;00022;V;00051;V;00056;V;00050;V;00037;V;00034;V;00034;V;00037;V;00037;V;00034;V;00030;V;00037;V;00043;V;00052;V;00049;V;00048;V;00038;V;00025;V
28;079;056;08;08;02;17;04;28;00021;V;00014;V;00007;V;00008;V;00007;V;00009;V;00023;V;00043;V;00049;V;00049;V;00044;V;00046;V;00034;V;00037;V;00037;V;00034;V;00035;V;00031;V;00038;V;00039;V;00039;V;00038;V;00032;V;00032;V
28;079;056;08;08;02;17;04;29;00024;V;00017;V;00014;V;00014;V;00017;V;00018;V;00023;V;00029;V;00037;V;00039;V;00043;V;00048;V;00041;V;00033;V;00035;V;00031;V;00037;V;00039;V;00045;V;00043;V;00049;V;00056;V;00057;V;00067;V
28;079;056;08;08;02;17;04;30;00056;V;00047;V;00041;V;00001;N;00026;V;00010;V;00010;V;00008;V;00009;V;00010;V;00008;V;00012;V;00011;V;00019;V;00018;V;00017;V;00008;V;00007;V;00010;V;00016;V;00022;V;00019;V;00020;V;00016;V
28;079;056;14;06;02;17;04;01;00075;V;00091;V;00090;V;00091;V;00094;V;00084;V;00082;V;00079;V;00079;V;00082;V;00093;V;00094;V;00095;V;00095;V;00097;V;00100;V;00102;V;00102;V;00099;V;00094;V;00082;V;00072;V;00070;V;00083;V
28;079;056;14;06;02;17;04;02;00082;V;00085;V;00079;V;00082;V;00066;V;00054;V;00049;V;00012;V;00030;V;00067;V;00072;V;00082;V;00086;V;00088;V;00084;V;00085;V;00102;V;00107;V;00092;V;00078;V;00059;V;00058;V;00063;V;00069;V
28;079;056;14;06;02;17;04;03;00067;V;00082;V;00082;V;00085;V;00088;V;00080;V;00055;V;00036;V;00020;V;00037;V;00053;V;00057;V;00067;V;00076;V;00082;V;00082;V;00089;V;00086;V;00081;V;00063;V;00031;V;00009;V;00009;V;00009;V
28;079;056;14;06;02;17;04;04;00008;V;00017;V;00015;V;00032;V;00026;V;00022;V;00009;V;00008;V;00010;V;00014;V;00040;V;00059;V;00080;V;00088;V;00092;V;00094;V;00092;V;00088;V;00084;V;00071;V;00050;V;00033;V;00048;V;00053;V
28;079;056;14;06;02;17;04;05;00068;V;00080;V;00085;V;00079;V;00083;V;00077;V;00057;V;00034;V;00022;V;00039;V;00061;V;00066;V;00075;V;00076;V;00077;V;00083;V;00080;V;00077;V;00074;V;00069;V;00065;V;00058;V;00073;V;00079;V
28;079;056;14;06;02;17;04;06;00096;V;00104;V;00104;V;00103;V;00097;V;00084;V;00056;V;00029;V;00023;V;00044;V;00062;V;00079;V;00084;V;00090;V;00094;V;00095;V;00096;V;00091;V;00078;V;00066;V;00033;V;00010;V;00010;V;00024;V
28;079;056;14;06;02;17;04;07;00059;V;00075;V;00073;V;00072;V;00069;V;00062;V;00052;V;00030;V;00013;V;00021;V;00040;V;00067;V;00075;V;00081;V;00093;V;00103;V;00105;V;00117;V;00108;V;00099;V;00059;V;00015;V;00009;V;00012;V
28;079;056;14;06;02;17;04;08;00019;V;00043;V;00054;V;00040;V;00030;V;00038;V;00026;V;00017;V;00020;V;00025;V;00047;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;056;14;06;02;17;04;09;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00115;N;00117;V;00116;V;00125;V;00124;V;00121;V;00106;V;00096;V;00087;V;00045;V;00011;V;00012;V;00015;V
28;079;056;14;06;02;17;04;10;00019;V;00040;V;00051;V;00032;V;00032;V;00030;V;00015;V;00014;V;00016;V;00026;V;00036;V;00062;V;00078;V;00085;V;00086;V;00097;V;00102;V;00101;V;00093;V;00094;V;00041;V;00011;V;00010;V;00019;V
28;079;056;14;06;02;17;04;11;00018;V;00022;V;00021;V;00018;V;00028;V;00014;V;00009;V;00009;V;00010;V;00015;N;00025;V;00037;V;00048;V;00075;V;00086;V;00116;V;00123;V;00113;V;00101;V;00105;V;00083;V;00042;V;00028;V;00016;V
28;079;056;14;06;02;17;04;12;00010;V;00009;V;00022;V;00045;V;00058;V;00047;V;00027;V;00015;V;00011;V;00022;V;00028;V;00040;V;00047;V;00077;V;00127;V;00131;V;00125;V;00131;V;00125;V;00113;V;00102;V;00095;V;00093;V;00052;V
28;079;056;14;06;02;17;04;13;00048;V;00045;V;00031;V;00028;V;00027;V;00031;V;00015;V;00010;V;00015;V;00028;V;00034;V;00050;V;00076;V;00113;V;00120;V;00121;V;00125;V;00099;V;00099;V;00109;V;00092;V;00095;V;00098;V;00086;V
28;079;056;14;06;02;17;04;14;00044;V;00037;V;00029;V;00018;V;00013;V;00012;V;00020;V;00028;V;00019;V;00029;V;00057;V;00082;V;00110;V;00114;V;00105;V;00098;V;00082;V;00079;V;00086;V;00087;V;00087;V;00074;V;00071;V;00069;V
28;079;056;14;06;02;17;04;15;00062;V;00055;V;00067;V;00024;V;00015;V;00030;V;00027;V;00016;V;00027;V;00054;V;00063;V;00065;V;00084;V;00100;V;00109;V;00111;V;00108;V;00105;V;00103;V;00108;V;00093;V;00066;V;00046;V;00069;V
28;079;056;14;06;02;17;04;16;00074;V;00074;V;00071;V;00080;V;00081;V;00081;V;00070;V;00063;V;00061;V;00063;V;00072;V;00074;V;00080;V;00089;V;00096;V;00104;V;00111;V;00118;V;00113;V;00107;V;00055;V;00013;V;00011;V;00017;V
28;079;056;14;06;02;17;04;17;00029;V;00041;V;00032;V;00032;V;00029;V;00033;V;00029;V;00012;V;00013;V;00018;V;00032;V;00057;V;00068;V;00079;V;00104;V;00113;V;00119;V;00116;V;00109;V;00096;V;00073;V;00056;V;00055;V;00052;V
28;079;056;14;06;02;17;04;18;00068;V;00090;V;00092;V;00096;V;00096;V;00089;V;00061;V;00037;V;00032;V;00036;V;00050;V;00062;V;00066;V;00078;V;00085;V;00094;V;00096;V;00102;V;00084;V;00058;V;00037;V;00036;V;00055;V;00071;V
28;079;056;14;06;02;17;04;19;00072;V;00082;V;00086;V;00085;V;00089;V;00086;V;00072;V;00051;V;00050;V;00060;V;00063;V;00066;V;00065;V;00079;V;00074;V;00090;V;00092;V;00084;V;00080;V;00073;V;00066;V;00063;V;00063;V;00068;V
28;079;056;14;06;02;17;04;20;00078;V;00085;V;00084;V;00077;V;00077;V;00071;V;00044;V;00043;V;00036;V;00043;V;00066;V;00079;V;00083;V;00085;V;00086;V;00088;V;00088;V;00079;V;00075;V;00077;V;00075;V;00066;V;00063;V;00072;V
28;079;056;14;06;02;17;04;21;00079;V;00089;V;00095;V;00099;V;00103;V;00092;V;00063;V;00033;V;00022;V;00026;V;00067;V;00083;V;00083;V;00093;V;00094;V;00093;V;00104;V;00097;V;00092;V;00091;V;00082;V;00070;V;00072;V;00080;V
28;079;056;14;06;02;17;04;22;00079;V;00086;V;00095;V;00099;V;00100;V;00091;V;00038;V;00033;V;00034;V;00038;V;00091;V;00098;V;00091;V;00088;V;00092;V;00100;V;00097;V;00092;V;00091;V;00084;V;00064;V;00027;V;00010;V;00010;V
28;079;056;14;06;02;17;04;23;00012;V;00017;V;00017;V;00018;V;00022;V;00035;V;00030;V;00024;V;00029;V;00034;V;00055;V;00085;V;00098;V;00104;V;00110;V;00116;V;00119;V;00116;V;00119;V;00114;V;00056;V;00012;V;00011;V;00021;V
28;079;056;14;06;02;17;04;24;00016;V;00013;V;00033;V;00048;V;00037;V;00018;V;00012;V;00010;V;00012;V;00024;V;00048;V;00058;V;00073;V;00095;V;00105;V;00110;V;00121;V;00111;V;00075;V;00048;V;00044;V;00038;V;00015;V;00016;V
28;079;056;14;06;02;17;04;25;00025;V;00015;V;00075;V;00092;V;00099;V;00083;V;00032;V;00019;V;00019;V;00029;V;00065;V;00077;V;00085;V;00089;N;00104;V;00105;V;00104;V;00102;V;00102;V;00098;V;00077;V;00084;V;00101;V;00095;V
28;079;056;14;06;02;17;04;26;00087;V;00096;V;00095;V;00091;V;00089;V;00085;V;00067;V;00032;V;00028;V;00061;V;00081;V;00082;V;00091;V;00101;V;00102;V;00099;V;00100;V;00096;V;00095;V;00079;V;00057;V;00056;V;00066;V;00067;V
28;079;056;14;06;02;17;04;27;00069;V;00075;V;00084;V;00086;V;00084;V;00088;V;00079;V;00056;V;00053;V;00060;V;00073;V;00079;V;00087;V;00085;V;00087;V;00092;V;00097;V;00090;V;00085;V;00075;V;00076;V;00074;V;00076;V;00083;V
28;079;056;14;06;02;17;04;28;00079;V;00085;V;00090;V;00090;V;00091;V;00089;V;00075;V;00060;V;00054;V;00054;V;00060;V;00063;V;00074;V;00077;V;00082;V;00088;V;00093;V;00096;V;00078;V;00069;V;00063;V;00060;V;00064;V;00061;V
28;079;056;14;06;02;17;04;29;00066;V;00070;V;00074;V;00076;V;00070;V;00067;V;00061;V;00056;V;00053;V;00054;V;00051;V;00049;V;00052;V;00057;V;00053;V;00054;V;00048;V;00045;V;00033;V;00031;V;00025;V;00016;V;00014;V;00013;V
28;079;056;14;06;02;17;04;30;00013;V;00013;V;00013;V;00849;N;00033;V;00055;V;00078;V;00090;V;00087;V;00090;V;00094;V;00090;V;00096;V;00084;V;00078;V;00074;V;00085;V;00093;V;00095;V;00093;V;00088;V;00093;V;00090;V;00091;V
28;079;057;01;38;02;17;04;01;00003;V;00004;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00003;V
28;079;057;01;38;02;17;04;02;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00003;V;00003;V;00002;V;00003;V;00002;V;00002;V;00003;V;00002;V;00002;V;00002;V;00003;V;00003;V;00003;V
28;079;057;01;38;02;17;04;03;00003;V;00004;V;00003;V;00003;V;00004;V;00004;V;00004;V;00003;V;00004;V;00003;V;00003;V;00004;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00003;V;00005;V;00007;V;00009;V
28;079;057;01;38;02;17;04;04;00008;V;00006;V;00005;V;00004;V;00005;V;00004;V;00003;V;00004;V;00005;V;00005;V;00004;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00001;V;00002;V;00003;V;00003;V;00003;V
28;079;057;01;38;02;17;04;05;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00003;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00002;V;00003;V;00003;V;00003;V;00003;V;00003;V
28;079;057;01;38;02;17;04;06;00003;V;00003;V;00003;V;00003;V;00004;V;00003;V;00003;V;00003;V;00005;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00004;V;00003;V;00003;V
28;079;057;01;38;02;17;04;07;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00003;V;00003;V;00005;V;00003;V;00004;V;00004;V;00003;V;00003;V;00003;V;00002;V;00002;V;00001;V;00001;V;00001;V;00003;V;00005;V;00005;V;00004;V
28;079;057;01;38;02;17;04;08;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00005;V;00004;V;00002;V;00002;V;00001;V;00001;V;00001;V;00002;V;00004;V;00005;V;00005;V
28;079;057;01;38;02;17;04;09;00003;V;00003;V;00004;V;00004;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00002;V;00001;V;00001;V;00001;V;00001;V;00002;V;00004;V;00004;V;00004;V
28;079;057;01;38;02;17;04;10;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00004;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00004;V;00004;V;00004;V
28;079;057;01;38;02;17;04;11;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00003;V;00003;V
28;079;057;01;38;02;17;04;12;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00004;V;00004;V;00005;V;00006;V;00004;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00003;V;00004;V
28;079;057;01;38;02;17;04;13;00004;V;00004;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00007;V;00005;V;00005;V;00004;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00004;V;00004;V
28;079;057;01;38;02;17;04;14;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00007;V;00007;V;00005;V;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00003;V;00004;V;00004;V
28;079;057;01;38;02;17;04;15;00004;V;00004;V;00005;V;00005;V;00005;V;00004;V;00004;V;00007;V;00008;V;00006;V;00007;V;00006;V;00005;V;00003;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00001;V;00003;V;00003;V;00003;V
28;079;057;01;38;02;17;04;16;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00003;V;00005;V;00006;V
28;079;057;01;38;02;17;04;17;00006;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00006;V;00003;V;00001;V;00001;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00004;V
28;079;057;01;38;02;17;04;18;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00004;V;00002;V;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00002;V;00003;V;00003;V;00004;V
28;079;057;01;38;02;17;04;19;00004;V;00003;V;00003;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00004;V;00003;V;00004;V;00003;V;00003;V;00003;V;00003;V;00001;V;00002;V;00003;V;00003;V;00004;V;00004;V;00004;V
28;079;057;01;38;02;17;04;20;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00002;V;00003;V;00003;V;00004;V;00004;V;00003;V
28;079;057;01;38;02;17;04;21;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00006;V;00006;V;00004;V;00005;V;00004;V;00004;V;00005;V;00004;V;00003;V;00004;V;00002;V;00001;V;00002;V;00003;V;00004;V;00004;V;00004;V
28;079;057;01;38;02;17;04;22;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00003;V;00003;V;00002;V;00002;V;00004;V;00004;V;00003;V
28;079;057;01;38;02;17;04;23;00004;V;00004;V;00003;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00004;V;00004;V;00003;V;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00004;V;00003;V
28;079;057;01;38;02;17;04;24;00005;V;00007;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00003;V;00002;V;00002;V;00001;V;00001;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V
28;079;057;01;38;02;17;04;25;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00004;V;00004;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00002;V;00003;V;00004;V;00004;V;00004;V;00004;V
28;079;057;01;38;02;17;04;26;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00003;V;00002;V;00002;V;00002;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V
28;079;057;01;38;02;17;04;27;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00002;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00003;V
28;079;057;01;38;02;17;04;28;00003;V;00004;V;00003;V;00004;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00003;V;00003;V;00002;V;00003;V;00002;V;00002;V;00002;V;00003;V;00003;V;00003;V;00004;V;00004;V
28;079;057;01;38;02;17;04;29;00003;V;00003;V;00003;V;00003;V;00004;V;00003;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00004;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V
28;079;057;01;38;02;17;04;30;00004;V;00005;V;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00005;V;00005;V;00004;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00004;V;00004;V;00004;V;00004;V;00003;V
28;079;057;06;48;02;17;04;01;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V
28;079;057;06;48;02;17;04;02;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V
28;079;057;06;48;02;17;04;03;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.7;V;000.9;V;000.8;V
